,bld1,bld2,bld3,bld4,bld5,bld6,bld7,bld8,bld9,bld10,date,ist,segmentid
17,9.836551,9.996402,10.197522,10.422936,10.582164,10.68508,10.784324,10.829181,10.784548,10.600298,0.0,10.71,237.0
18,10.490537,10.38558,10.280491,10.227223,10.118913,10.067467,10.059064,10.052062,9.95978,9.814067,0.0,9.82,237.0
19,9.678015,9.66786,9.627412,9.577615,9.457122,9.369249,9.028108,9.017219,8.928311,8.842795,0.0,9.05,237.0
20,8.753514,8.671525,8.587318,8.50091,8.420087,8.381915,8.340145,8.265886,8.194226,8.152424,0.0,8.1,237.0
21,8.085632,8.016608,7.501771,7.462102,7.390694,7.383043,7.34354,7.304577,7.298315,7.325923,0.0,7.6,237.0
22,7.290586,7.285026,7.254639,7.21906,7.214453,7.186111,7.182171,7.20333,7.177111,7.172754,0.0,7.44,237.0
23,7.169615,7.13965,7.136079,7.112244,7.08347,7.060475,7.058048,7.033189,7.007625,7.029086,0.0,7.05,237.0
24,6.988127,6.98677,6.96563,6.965084,6.965636,6.949132,6.949799,6.950771,6.933347,6.933845,0.0,6.88,237.0
25,6.93531,6.936776,6.955069,6.956604,6.957592,6.958548,6.959521,6.960493,6.947515,6.9485,0.0,6.88,237.0
26,6.949965,6.94103,6.942516,6.95422,6.966724,6.977113,6.987938,6.996578,7.005693,7.013726,0.0,7.27,237.0
27,7.019673,7.018197,7.016426,7.021393,7.01951,7.02206,7.025031,7.022077,7.022551,7.023058,0.0,7.6,237.0
28,7.022049,8.134778,7.01113,8.149677,8.156084,8.160426,6.996117,6.991353,6.99557,7.002714,1.0,7.16,237.0
29,7.0101,5.83713,5.844395,5.85166,5.858926,5.866191,5.873456,5.880842,5.887986,4.715258,1.0,5.55,237.0
30,4.722402,4.729667,4.736933,4.744198,4.751463,4.758728,4.766114,4.773258,4.780645,4.787789,1.0,4.72,237.0
31,5.975168,5.982433,5.989699,5.996964,6.004229,6.011615,7.198874,7.20626,6.03329,7.220669,1.0,6.38,237.0
32,7.227934,7.2352,7.242465,7.24973,7.257116,7.26426,7.271647,7.278791,7.286056,7.293321,1.0,6.61,237.0
33,7.300586,7.307851,7.315117,7.322503,6.149533,6.156919,6.164063,6.171328,6.178593,6.185858,1.0,5.77,237.0
34,6.193124,6.200389,6.207775,6.214919,6.222305,6.229449,7.416829,7.424094,7.431359,7.438625,1.0,6.61,237.0
35,7.44589,8.63339,8.640535,8.647921,8.655065,8.66233,9.84971,9.856975,9.86424,8.691391,1.0,9.27,237.0
36,8.698777,8.705921,8.713307,8.720451,8.727717,8.734982,7.562133,7.569398,7.576663,7.584049,1.0,7.77,237.0
37,7.591193,7.59858,7.605724,7.612989,7.620254,7.627519,6.45467,6.461935,6.469321,6.476465,1.0,6.22,237.0
38,6.483852,6.490996,6.498261,6.505526,5.332677,5.339942,5.347207,5.354593,5.361738,5.369124,1.0,4.55,237.0
39,5.376268,5.383533,5.390798,5.398063,5.405329,5.412594,5.41998,5.427124,5.43451,5.441654,1.0,4.61,237.0
40,5.44892,5.456185,5.46345,6.65083,6.658095,6.665481,6.672625,6.680011,7.86727,7.874535,1.0,5.94,237.0
41,7.8818,9.06918,9.076445,9.08371,10.259235,10.204166,10.15464,10.180751,10.187883,10.179311,1.0,10.49,237.0
42,10.178543,10.165009,10.150325,10.135396,10.120957,10.116713,10.112969,10.078496,10.025183,9.979389,1.0,9.99,237.0
43,9.90257,9.802769,9.738158,9.69289,9.625766,9.645177,9.677511,9.672913,9.711662,9.649889,1.0,9.77,237.0
44,8.907556,8.803513,8.714355,8.541848,7.822629,7.699918,7.578177,7.388396,7.189853,6.968715,1.0,7.16,237.0
45,6.330649,6.150037,5.991456,5.835083,5.695548,5.594325,5.488971,5.415757,5.271686,5.154286,1.0,5.66,237.0
46,5.072404,5.077913,5.208962,5.227788,5.160692,5.166675,5.138269,5.20771,5.082092,5.003506,1.0,5.94,237.0
47,4.969369,4.885754,4.703838,4.606548,4.46299,4.44607,4.513451,3.959696,4.278544,4.85378,1.0,6.49,237.0
48,5.406305,5.912687,6.323237,6.684452,6.867835,7.04855,7.174122,7.34848,7.478718,7.598077,1.0,8.6,237.0
49,7.662625,7.733173,7.796222,7.866936,7.984984,8.059889,8.020082,8.026653,7.935179,7.884227,1.0,8.71,237.0
50,7.890608,7.901989,7.913371,7.822087,7.779657,7.787515,7.742087,7.703612,7.711659,7.723041,1.0,8.44,237.0
51,7.734422,7.745804,7.803852,7.818757,7.784116,7.79152,7.802711,7.759094,7.664642,7.610857,1.0,8.1,237.0
52,7.515572,7.370287,7.212525,7.166549,7.173953,7.129146,7.035694,6.982909,6.942623,6.894672,1.0,7.38,237.0
53,6.902052,6.866957,6.920648,6.936387,7.003578,7.01896,7.030341,7.041723,6.950439,6.954486,1.0,7.33,237.0
54,6.966057,6.977249,6.98882,6.944012,6.850561,6.696943,6.64749,6.655538,6.769585,6.835157,1.0,7.16,237.0
55,6.904682,6.921253,6.82978,6.87966,6.895208,6.962589,7.033971,7.049353,7.10759,7.177115,1.0,7.33,237.0
56,7.193687,7.204879,7.21626,7.273474,7.289023,7.356404,7.371786,7.383357,7.440382,7.560619,1.0,7.55,237.0
